Source,Description,ID,Units,missing,complete,n,mean,sd,0 percentile,25 percentile,median,75 percentile,100 percentile,Distribution histogram,Analyzed timeframe ,Link,Resolution,Data access,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD11C3,MOD11C3 Average land surface day temperature summer,LTemp day summer,°C,132,999,1131,25.68,5.62,10.55,22.26,24.42,28.28,43.25,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTD_CLIM_M,0.1°,16-Feb-17,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD11C3,MOD11C3 Average land surface night temperature spring,Ltemp  night spring,°C,132,999,1131,5.41,3.55,-12.6,3.2,5.41,7.34,17.07,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTN_CLIM_M,0.1°,16-Feb-17,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD11C3,MOD11C3 Average land Surface night temperature summer,LTemp night summer,°C,146,985,1131,11.74,3.07,-5.62,9.82,11.75,13.49,20.75,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTN_CLIM_M,0.1°,16-Feb-17,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD13Q1,MOD13Q1 Normalized difference vegetation index spring,NDVI Spring,Index,0,1131,1131,101.22,29.39,33.07,84.32,96.6,113.35,255,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_NDVI_M,0.1°,1-Feb-16,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD13Q1,MOD13Q1 Normalized difference vegetation index summer,NDVI Summer,Index,0,1131,1131,189.15,37.54,30.47,170.03,198.53,219.63,255,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_NDVI_M,0.1°,1-Feb-16,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD15A2,MOD16A2 Leaf area index during spring,LAI Spring,m2/m2,15,1116,1131,1.43,0.59,0.1,0.99,1.36,1.79,4.51,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD15A2_M_LAI,0.1°,16-Feb-17,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD15A2,MOD16A2 Leaf area index during summer,LAI Summer,m2/m2,14,1117,1131,2.42,1.03,0.22,1.71,2.37,3.16,5.22,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD15A2_M_LAI,0.1°,16-Feb-17,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Global potential evapotranspiration (PET),PET,mm/yr,189,942,1131,10951.26,3002.35,5026,8421,10375.5,12769,21391,________,2000-2006,http://files.ntsg.umt.edu/data/NTSG_Products/MOD16/, 1 km 2,1-Feb-16,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Global evapotranspiration (ET),ET,mm/yr,189,942,1131,5119.93,1329.62,1901,4329,4977.5,5867.75,11072,________,2000-2006,http://files.ntsg.umt.edu/data/NTSG_Products/MOD16/, 1 km 2,1-Feb-16,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Global latent heat flux (LE),LE,W/m2,189,942,1131,345.52,89.14,129,292,336,396,742,________,2000-2006,http://files.ntsg.umt.edu/data/NTSG_Products/MOD16/, 1 km 2,1-Feb-16,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Aridity index ,Aridity index,Index,461,670,1131,0.67,0.26,0.031,0.5,0.69,0.8,1.8,________,2001-2013,https://vdeblauwe.wordpress.com/download/,0.05°,6-Apr-16,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Climatic water deficity ,Climatic water deficity,mm/yr,512,619,1131,-644.77,317.91,-1996.79,-872.51,-489.13,-421.63,-51.68,________,2001-2013,https://vdeblauwe.wordpress.com/download/,0.05°,6-Mar-16,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Number of dry months,Number of dry months,days,512,619,1131,7.7,1.52,2.13,6.8,7.47,8.87,12,________,2001-2013,https://vdeblauwe.wordpress.com/download/,0.05°,6-Mar-16,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD17A2,MOD17A2 Gross primary productivity spring,GPP Spring,gC/m2/day,111,1020,1131,921.47,403.87,77.11,695.93,877.78,1058.52,2755.85,________,2001-2010,http://files.ntsg.umt.edu/data/NTSG_Products/MOD17/,0.05°,12-Feb-16,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD17A2,MOD17A2 Gross primary productivity summer,GPP Summer,gC/m2/day,111,1020,1131,1877.98,543.29,239.53,1683.35,1965.75,2167.7,3391.13,________,2001-2010,http://files.ntsg.umt.edu/data/NTSG_Products/MOD17/,0.05°,12-Feb-16,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD17A2,MOD17A2 Net primary productivity spring,NPP Spring,gC/m2/day,12,1119,1131,1.88,0.74,-0.024,1.43,1.78,2.24,5.59,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD17A2_M_PSN,0.1°,16-Feb-17,,,
Moderate-resolution imaging spectroradiometer (MODIS): MOD17A2,MOD17A2 Net primary productivity summer,NPP Summer,gC/m2/day,12,1119,1131,2.75,1.26,-0.092,1.98,2.65,3.52,5.57,________,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD17A2_M_PSN,0.1°,16-Feb-17,,,
GTOPO30,GTOPO30 Topography,Topography,m,37,1094,1131,54.15,34.56,2,27,47,74,255,________,1999,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=10003_1,30-arc seconds,21-Nov-16,,,
NASA Shuttle Radar Topographic Mission (SRTM),SRTM 90m Digital Elevation Database v4.1,SRTM Elevation,m,75,1056,1131,387.21,502.16,-27,74,219,501,5296,________,2008,http://www.cgiar-csi.org/data/srtm-90m-digital-elevation-database-v4-1,90 m,2-Dec-16,,,
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Smoothed Brightness Temperature summer,SMT Spring,Index,109,1022,1131,287.17,5.95,237.05,284.65,287.25,291.2,299.21,________,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,,,
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Smoothed Brightness Temperature spring,SMT Summer,Index,109,1022,1131,295.17,5.12,254.27,292.26,294.61,297.8,312.99,________,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,,,
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Smoothed NDVI spring,SMN Spring,Index,109,1022,1131,0.46,0.11,0.027,0.4,0.49,0.55,0.7,________,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,,,
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Smoothed NDVI summer,SMN Summer,Index,109,1022,1131,0.58,0.12,0.031,0.51,0.6,0.66,0.77,________,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,,,
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Temperature Condition Index spring,TCI Spring,Index,112,1019,1131,27.6,18.33,0.046,14.55,24.28,38.29,100,________,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,,,
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Temperature Condition Index summer,TCI Summer,Index,112,1019,1131,34.7,21.37,0,19.81,30.82,47.17,99.1,________,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,,,
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Vegetation Condition Index spring,VCI Spring,Index,112,1019,1131,50.27,22.55,0,35.46,52.51,67.52,98.69,________,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,,,
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Vegetation Condition Index summer,VCI Summer,Index,112,1019,1131,37.4,26.46,0,12.01,35.75,56.93,100,________,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,,,
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Vegetation Health Index spring,VHI Spring,Index,112,1019,1131,38.93,12.88,1.82,30.94,39.56,46.86,82.04,________,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,,,
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Vegetation Health Index summer,VHI Summer,Index,112,1019,1131,36.05,18.85,0.18,20.97,36.12,47.85,93.96,________,1981–2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,4 km,21-Nov-16,,,
The International Satellite Land Surface Climatology Project (ISLSCP II),ISLSCP II CO2 EMISSIONS,CO2 Emissions,C/cm2/sec,225,906,1131,2823.29,4166.71,4.74,515.26,1119.57,3487.17,38091.48,________,1986-1995,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=1021_11,1°,21-Nov-16,,,
WORLD BANK Global Solar Atlas,WORLD BANK Photovoltaic power potential ,WB PVOUT,kWh/kWp,74,1057,1131,3.37,0.58,2.09,2.86,3.26,3.81,5.19,________,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,,,
WORLD BANK Global Solar Atlas,WORLD BANK Global horizontal irradiation,WB GHI ,kWh/m2,74,1057,1131,3.52,0.68,2.17,2.9,3.37,3.99,5.47,________,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,,,
WORLD BANK Global Solar Atlas,WORLD BANK Diffuse horizontal irradiation,WB DIF,kWh/m2,74,1057,1131,1.55,0.12,1.03,1.48,1.56,1.61,2.61,________,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,,,
WORLD BANK Global Solar Atlas,WORLD BANK Global irradiation for optimally tilted surface,WB GTI ,kWh/m2,74,1057,1131,4.11,0.75,2.51,3.46,3.99,4.62,6.35,________,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,,,
WORLD BANK Global Solar Atlas,WORLD BANK Optimum tilt to maximize yearly yield,WB OPTA,degrees,74,1057,1131,35.61,2.97,15,34,36,38,43,________,NA,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,,,
WORLD BANK Global Solar Atlas,WORLD BANK Direct normal irradiation,WB DNI ,kWh/m2,74,1057,1131,3.48,0.95,1.5,2.77,3.23,3.94,7.13,________,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,,,
WORLD BANK Global Solar Atlas,WORLD BANK Air temperature at 2 m above ground level,WB TEMP ,°C,76,1055,1131,9.55,3.04,-10.9,8.2,8.9,11,22.8,________,1994-2015 ,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,,,
WORLD BANK Global Solar Atlas,WORLD BANK Terrain elevation above sea level,WB ELE,meters,76,1055,1131,9.55,3.04,-10.9,8.2,8.9,11,22.8,________,NA,http://globalsolaratlas.info/downloads/world,30 arcsec,9-Jan-17,,,
GPCC Global Precipitation Climatology Centre  Full Data Reanalysis Version 7,GPCC Precipitation spring,GPCC Spring,mm,39,1092,1131,58.81,20.68,6,43.33,55.67,71,195.67,________,1951-2000,ftp://ftp.dwd.de/pub/data/gpcc/html/fulldata_v7_doi_download.html,0.5°,4-Feb-16,,,
GPCC Global Precipitation Climatology Centre  Full Data Reanalysis Version 7,GPCC Precipitation summer,GPCC Summer,mm,39,1092,1131,62.54,27.74,0,45.5,63,79.33,285.67,________,1951-2000,ftp://ftp.dwd.de/pub/data/gpcc/html/fulldata_v7_doi_download.html,0.5°,4-Feb-16,,,
WorldClim Version2,WorldClim Minimum temperature spring,WC2 Tmin spring,°C,20,1111,1131,2.55,3.32,-19.5,1,2.67,4.47,16.97,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim Minimum temperature summer,WC2 Tmin summer,°C,20,1111,1131,13.87,2.69,-8.2,12.43,13.43,15.6,21.07,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim Maximum temperature spring,WC2 Tmax spring,°C,20,1111,1131,13.47,3.7,-13.73,11.2,13.6,15.83,26.67,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim Maximum temperature summer,WC2 Tmax summer,°C,20,1111,1131,22.16,3.8,1.73,19.17,21.6,25.35,34.4,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim average temperature spring,WC2 Tmean spring,°C,20,1111,1131,8.01,3.38,-16.6,6.2,8.37,10,21.8,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim average temperature summer,WC2 Tmean summer,°C,20,1111,1131,18.01,3.17,-3.23,15.85,17.47,20.4,27.73,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim precipitation spring,WC2 Pre spring,mm,20,1111,1131,57.37,20.42,0.33,42.67,53.67,67.33,160,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim precipitation summer,WC2 Pre summer,mm,20,1111,1131,61.01,25.74,1.33,45.83,63.33,78.5,230.67,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim solar radiation spring,WC2 Solar rad. Spring,kJ m-2 day-1,20,1111,1131,15136.4,1902.22,11643.33,13523.67,15045.33,16478.33,23156,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim solar radiation summer,WC2 Solar rad. Summer,kJ m-2 day-1,20,1111,1131,20084.15,2690.58,14353,18155.33,19528.67,21756.83,26918.67,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim water Vapor Pressure Spring,WC2 Water vap. Spring,kPa,20,1111,1131,0.79,0.16,0.08,0.71,0.79,0.88,1.69,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim water Vapor Pressure Summer,WC2 Water vap. Summer,kPa,20,1111,1131,1.42,0.26,0.21,1.28,1.37,1.54,2.34,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO1 = Annual mean temperature,WC2 BIO1,°C,20,1111,1131,9.09,3.48,-14.53,7.41,9.18,10.73,22.71,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO2 = Mean diurnal range,WC2 BIO2,°C,20,1111,1131,8.95,1.78,3.9,7.55,8.63,10.48,15.45,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO3 = Isothermality,WC2 BIO3,°C,20,1111,1131,31.93,5.2,19.01,28.49,31.03,35.94,62.6,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO4 = Temperature seasonality,WC2 BIO4,°C,21,1110,1131,717.14,192,153.01,623.85,665.51,783.35,1424.18,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO5 = Max temperature of warmest month,WC2 BIO5,°C,20,1111,1131,22.75,3.85,4.5,19.6,22,25.9,34.8,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO6 = Min temperature of coldest month,WC2 BIO6,°C,20,1111,1131,-5.75,5.58,-30.5,-8.4,-4.8,-2.4,15.5,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO7 = Temperature annual range,WC2 BIO7,°C,20,1111,1131,28.5,6.31,12.4,24.6,27.3,31,50.5,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO8 = Mean temperature of wettest quarter,WC2 BIO8,°C,20,1111,1131,11.97,5.46,-6.83,7.75,12.48,16.15,25.85,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO9 = Mean temperature of driest quarter,WC2 BIO9,°C,20,1111,1131,6.55,9.41,-25.77,1.09,2.95,14.89,26.05,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO10 = Mean temperature of warmest quarter,WC2 BIO10,°C,20,1111,1131,18.04,3.17,-3.05,15.87,17.5,20.45,27.73,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO11 = Mean temperature of coldest quarter,WC2 BIO11,°C,20,1111,1131,0.53,5.13,-26.43,-1.77,0.78,3.79,20.82,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO12 = Annual precipitation,WC2 BIO12,mm,20,1111,1131,738.92,244.53,118,596,712,841,2410,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO13 = Precipitation of wettest month,WC2 BIO13,mm,20,1111,1131,89.71,31.83,27,69,85,101,296,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO14 = Precipitation of driest month,WC2 BIO14,mm,20,1111,1131,35.32,16.67,0,26,36,43,124,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO15 = Precipitation seasonality,WC2 BIO15,mm,20,1111,1131,29.19,13.64,6.49,20.51,26.02,34.35,155.79,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO16 = Precipitation of wettest quarter,WC2 BIO16,mm,20,1111,1131,247.2,88.67,62,194,234,279,849,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO17 = Precipitation of driest quarter,WC2 BIO17,mm,20,1111,1131,122.73,51.22,0,92.5,123,150,392,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClim BIO18 = Precipitation of warmest quarter,WC2 BIO18,mm,20,1111,1131,184.04,77.01,4,142.5,191,235,691,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
WorldClim Version2,WorldClimBIO19 = Precipitation of coldest quarter,WC2 BIO19,mm,20,1111,1131,175.65,89.58,6,127,157,191,790,________,1970-2000,http://worldclim.org/version2,30 arc sec,9-Aug-17,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA Minimum temperature spring,CHELSA Tmin spring,°C,0,1131,1131,10.57,3.31,-10.89,8.74,10.07,12.42,21.17,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA Minimum temperature summer,CHELSA Tmin summer,°C,0,1131,1131,-0.52,4.32,-24.51,-2.22,-0.22,2.02,18.65,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA Maximum temperature spring,CHELSA Tmax spring,°C,0,1131,1131,19.1,4.12,-5.66,15.94,20.06,21.82,28.84,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA Maximum temperature summer,CHELSA Tmax summer,°C,0,1131,1131,28.41,4.27,6.81,24.7,29.17,31.16,38.41,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA Average temperature spring,CHELSA Tmean spring,°C,0,1131,1131,8.66,3.55,-13.64,6.47,8.86,10.72,20.99,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA Average temperature summer,CHELSA Tmean summer,°C,0,1131,1131,18.77,3.44,-1.53,16.38,18.19,21.18,27.63,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
CHELSA (Climatologies at high resolution for the earth’s land surface areas),CHELSA Interannual Temperature ,CHELSA Interann. temp. ,°C,0,1131,1131,8.75,2,4.72,6.98,8.89,10.27,13.74,________,1979-2013,http://chelsa-climate.org/,30 arc sec,9-Sep-16,,,
